nodei;nodej;frechet_m;direccion;longitud1_m;longitud2_m;longitud_promedio_m;diferencia_relativa_pct;duplicadas;atributos_iguales
148490;148470;0.0;invertida;72.33;72.33;72.33;0.0;Sí;Sí
147100;147085;0.0;invertida;68.03;68.03;68.03;0.0;Sí;Sí
146381;146406;0.0;invertida;179.74;179.74;179.74;0.0;Sí;Sí
148432;148430;0.0;invertida;224.49;224.49;224.49;0.0;Sí;Sí
147825;147849;0.0;invertida;87.39;87.39;87.39;0.0;Sí;Sí
149979;149995;0.0;invertida;62.25;62.25;62.25;0.0;Sí;Sí
147586;147556;0.0;invertida;90.1;90.1;90.1;0.0;Sí;Sí
146258;146383;0.0;invertida;925.96;925.96;925.96;0.0;Sí;Sí
148182;148206;0.0;invertida;71.54;71.54;71.54;0.0;Sí;Sí
146235;146036;0.0;invertida;1670.63;1670.63;1670.63;0.0;Sí;Sí
142208;142134;0.0;invertida;7054.59;7054.59;7054.59;0.0;Sí;Sí
148800;148899;0.0;invertida;2314.68;2314.68;2314.68;0.0;Sí;Sí
148930;148925;0.0;invertida;63.07;63.07;63.07;0.0;Sí;Sí
146792;146747;0.0;invertida;319.85;319.85;319.85;0.0;Sí;Sí
148888;148879;0.0;invertida;227.88;227.88;227.88;0.0;Sí;Sí
149317;149071;0.0;invertida;2274.13;2274.13;2274.13;0.0;Sí;Sí
147824;147829;0.0;invertida;25.58;25.58;25.58;0.0;Sí;Sí
